Time (s),X (m),Y (m)
0,-1.27644488030649,-2.06252331261294
0.2,-1.27350308485099,-2.06068357806924
0.4,-1.26496045324028,-2.05526702209044
0.6,-1.25140804594177,-2.04664185094074
0.8,-1.23369347564469,-2.03541601209464
1,-1.21283388158388,-2.02238558380064
1.2,-1.18999414756438,-2.00845913433754
1.4,-1.16638139587238,-1.99455546132884
1.6,-1.14315069534167,-1.98150624274084
1.8,-1.12130076471259,-1.96999380108664
2,-1.10163702927738,-1.96053439379024
2.2,-1.08478110152168,-1.95348305880284
2.4,-1.07109012209858,-1.94902369868934
2.6,-1.06063572618828,-1.94714542384674
2.8,-1.05321100388768,-1.94763719503994
3,-1.04839438319517,-1.95009588855964
3.2,-1.04565790603559,-1.95394844920764
3.4,-1.04438095126228,-1.95847442307324
3.6,-1.04389345463008,-1.96283830479974
3.8,-1.04351874357648,-1.96613998790674
4,-1.04256733825788,-1.96749478539554
4.2,-1.04040634227339,-1.96611072842054
4.4,-1.03644165624148,-1.96135305419544
4.6,-1.03016901056728,-1.95278562451824
4.8,-1.02120431985438,-1.94020664624294
5,-1.00930030399358,-1.92366738017214
5.2,-0.994434671342575,-1.90346780525054
5.4,-0.976827474829477,-1.88011340590874
5.6,-0.956850901145273,-1.85424532238774
5.8,-0.935071289246977,-1.82658452050964
6,-0.912207731503884,-1.79788765084974
6.2,-0.889090350797474,-1.76890564532254
6.4,-0.866587306314784,-1.74033378282084
6.6,-0.845447197961477,-1.71275903852954
6.8,-0.826224099054173,-1.68663458719014
7,-0.809247167248174,-1.66228266582074
7.2,-0.794614130205673,-1.63992252880014
7.4,-0.782221959875074,-1.61967787902944
7.6,-0.771723717556284,-1.60156756462364
7.8,-0.762533847960981,-1.58549010591634
8,-0.75385443670848,-1.57122728670954
8.2,-0.744768054630285,-1.55846905446364
8.4,-0.734329719270178,-1.54684688445464
8.6,-0.721716980408075,-1.53595660941114
8.8,-0.706270967456973,-1.52537074004444
9,-0.687572724556375,-1.51463343434474
9.2,-0.665480272005283,-1.50324833876284
9.4,-0.640051574234775,-1.49066081645884
9.6,-0.611486273837386,-1.47626319931385
9.8,-0.580129401213583,-1.45943850115544
10,-0.546480285640882,-1.43965516691044
10.2,-0.511230665720774,-1.41657813649864
10.4,-0.475283900547083,-1.39014526826264
10.6,-0.439673279671283,-1.36056895132044
10.8,-0.405374649590982,-1.32829439945064
11,-0.37322911590158,-1.29393430642194
11.2,-0.343959888982482,-1.25822994726614
11.4,-0.318159229711284,-1.22204500083644
11.6,-0.296324308319385,-1.18631484046354
11.8,-0.278787077261882,-1.15195007573444
12,-0.265620444318984,-1.11972313024434
12.2,-0.256546407608482,-1.09017762808204
12.4,-0.250986052127573,-1.06359587878004
12.6,-0.24809723429118,-1.04000328842274
12.8,-0.246895723297186,-1.01919780115134
13,-0.246340045834074,-1.00078335861124
13.2,-0.245480505337781,-0.984205373343244
13.4,-0.243441962485178,-0.968799668090643
13.6,-0.239621499970383,-0.953845949791642
13.8,-0.233693857793284,-0.938610467562942
14,-0.225557264547177,-0.922372400262344
14.2,-0.215225221632977,-0.904444536472642
14.4,-0.202803095936275,-0.884211232993245
14.6,-0.188486979056975,-0.861179543493542
14.8,-0.172493869705974,-0.835031331244643
15,-0.155108034042982,-0.805651218615342
15.2,-0.13667156480868,-0.773119527179642
15.4,-0.117560867759977,-0.737680347970642
15.6,-0.0981423373647772,-0.699704775134045
15.8,-0.078788592611474,-0.659659287029644
16,-0.0598625210184736,-0.618072770913042
16.2,-0.0417001250663844,-0.575511404595943
16.4,-0.0246160951566736,-0.532568702603243
16.6,-0.00889565610518162,-0.489870038505444
16.8,0.00511928724641564,-0.448083679538943
17,0.0170589345970171,-0.407906470613444
17.2,0.0265535603452207,-0.370017191312844
17.4,0.0332694756211254,-0.335030104266544
17.6,0.0368831357438211,-0.303456171288843
17.8,0.0370765293040165,-0.275666032535842
18,0.0335923561247142,-0.251841607863444
18.2,0.0263074335511249,-0.231916837789942
18.4,0.0153106899788185,-0.215545029426345
18.6,0.000915135014025736,-0.202125242564644
18.8,-0.0163759596869824,-0.190881931849543
19,-0.0359463665859749,-0.180954785375643
19.2,-0.0570534353097827,-0.171449456441142
19.4,-0.0788719043382855,-0.161463422624042
19.6,-0.100461825731387,-0.150126199598642
19.8,-0.120846907357176,-0.136661576189443
20,-0.139170391053682,-0.120444065365543
20.2,-0.154707832321577,-0.101025122960543
20.4,-0.166827719564679,-0.0781453759626416
20.6,-0.17506944727208,-0.0517603333185441
20.8,-0.179224297728879,-0.0220922894445437
21,-0.17939877060688,0.0103202178391584
21.2,-0.17598947182978,0.0446571555700572
21.4,-0.169560651888673,0.0799134295046571
21.6,-0.160705016362073,0.115013965277257
21.8,-0.150014257307276,0.148893029998856
22,-0.138128064843286,0.180552670963358
22.2,-0.12567793659548,0.209147598523955
22.4,-0.113166288921576,0.234105075743958
22.6,-0.100851383982274,0.255213389190057
22.8,-0.0887329745635839,0.272624002306056
23,-0.0766702043169829,0.286766741042857
23.2,-0.0644855544923786,0.298238369843258
23.4,-0.0520198035195847,0.307707368320358
23.6,-0.0391145070639851,0.315847056630055
23.8,-0.0256278192700847,0.323270294379658
24,-0.0115034963234848,0.330458868467957
24.2,0.003193784014627,0.337708363233755
24.4,0.0182330249612193,0.345106196398358
24.6,0.0332848690831185,0.352531963767955
24.8,0.0478524838052152,0.359682493909457
25,0.0613484139854137,0.366108143634158
25.2,0.0731375021181151,0.371285879066356
25.4,0.0826625549197217,0.374724647294958
25.6,0.0895212692634146,0.376059929636956
25.8,0.0935498391108212,0.375106455056756
26,0.0947603515748199,0.371862554907356
26.2,0.0933488891866148,0.366496285534357
26.4,0.0897465570567135,0.359340756962055
26.6,0.0845845616523207,0.350890392720658
26.8,0.0787807250265189,0.341774128492556
27,0.0733723565711273,0.332701209392358
27.2,0.0694787604894174,0.324403065927356
27.4,0.0681539136615186,0.317583482885055
27.6,0.0703160829022238,0.312872972485359
27.8,0.076616490132821,0.310766802806558
28,0.0873346616821209,0.311553151451957
28.2,0.102313056716127,0.315270425524858
28.4,0.121001701100624,0.321692936692855
28.6,0.142566357818225,0.330342880842657
28.8,0.165892821351818,0.340482649105756
29,0.189678367723417,0.351109287258357
29.2,0.212437030049614,0.360985899316958
29.4,0.232677055831317,0.368752826791656
29.6,0.249078850641922,0.373083528760859
29.8,0.260625211507914,0.372839399359457
30,0.266616547958023,0.367182316976457
30.2,0.266649045559021,0.355631234729255
30.4,0.260623847682822,0.338109379722358
30.6,0.248785245207415,0.314995411321256
30.8,0.23181573321682,0.287133237005357
31,0.210801789864718,0.255773762411955
31.2,0.187087003848816,0.222441572981555
31.4,0.162139308952618,0.188775632249357
31.6,0.137413389197619,0.156388080041957
31.8,0.114192311107516,0.126740559409356
32,0.093573974716719,0.101039980035257
32.2,0.0763215564825259,0.0801409806196567
32.4,0.06283247378272,0.0644746917216565
32.6,0.0530744353066268,0.0540139292535571
32.8,0.0466720808582153,0.0482814034581551
33,0.0429406353150199,0.0464062190312582
33.2,0.041004110359026,0.047222610443157
33.4,0.0399605052984242,0.0493983287283584
33.6,0.0389749449259256,0.0515700357035556
33.8,0.0373599012855266,0.0524627001695563
34,0.0346115404911274,0.0509911871170559
34.2,0.0304332139405261,0.0463447052916557
34.4,0.0247701090134171,0.0380645096185575
34.6,0.0178319037570276,0.0260768664586557
34.8,0.0101132800044184,0.0106660012092554
35,0.00216638934101354,-0.00762243907734472
35.2,-0.00542456980177519,-0.0281004890771435
35.4,-0.0121635215129743,-0.0500147780574416
35.6,-0.0176005155903738,-0.072580279261242
35.8,-0.0213531765528785,-0.0950089876817444
36,-0.0231681253519724,-0.116564993605142
36.2,-0.0230190287111753,-0.136627298331344
36.4,-0.0212337841050783,-0.154804891102842
36.6,-0.0184378339002791,-0.170952952396242
36.8,-0.0154533056005732,-0.185124523121843
37,-0.0131500336087811,-0.197507491333443
37.2,-0.0123585679700824,-0.208384679263844
37.4,-0.0138392741338862,-0.218098701267643
37.6,-0.0182708562644791,-0.227007961222842
37.8,-0.0260720816030755,-0.235415981316041
38,-0.0374062008039857,-0.243501414158342
38.2,-0.0520537631160778,-0.251274323308841
38.4,-0.0694816382936807,-0.258578117045843
38.6,-0.0888897262744735,-0.265131187979943
38.8,-0.10933373828378,-0.270591305247844
39,-0.129826123322275,-0.274631390189242
39.2,-0.149465723575986,-0.277013370158144
39.4,-0.167542894345075,-0.277645660398644
39.6,-0.183590783079381,-0.276619407615044
39.8,-0.197468593456478,-0.274218090161945
40,-0.209313875366476,-0.270892240802542
40.2,-0.219509782068485,-0.267214529466244
40.4,-0.22861858455758,-0.263815893256243
40.6,-0.237270255294874,-0.261314501985943
40.8,-0.246046682448679,-0.260248472357144
41,-0.255422878508782,-0.261006252037344
41.2,-0.26571231452948,-0.263754817924543
41.4,-0.276939557288884,-0.268384447570142
41.6,-0.288881585883274,-0.274485312933642
41.8,-0.301068331488082,-0.281374309144542
42,-0.312902631257074,-0.288161896133342
42.2,-0.323670463248476,-0.293839267350744
42.4,-0.332635075147181,-0.297361623528044
42.6,-0.339015999735878,-0.297737849841944
42.8,-0.34206280186288,-0.294133609879044
43,-0.341236381867375,-0.285988708415243
43.2,-0.336285577148175,-0.273110373478943
43.4,-0.327273049465973,-0.255706085250942
43.6,-0.314607808818877,-0.234349028086942
43.8,-0.298947203743779,-0.209910041042544
44,-0.281173442003777,-0.183484377776043
44.2,-0.262366978148776,-0.156313323651045
44.4,-0.243669372838085,-0.129689671790242
44.6,-0.226223613194179,-0.104836934465744
44.8,-0.210961525924873,-0.0827845234022426
45,-0.198534396761985,-0.0642776316668439
45.2,-0.189259094928076,-0.0497202871804419
45.4,-0.183134060359279,-0.0391432919106443
45.6,-0.179845135513673,-0.0321909542286427
45.8,-0.178788446882578,-0.0281360099167429
46,-0.179171587238983,-0.0259433572393419
46.2,-0.180059517777082,-0.0243724426155438
46.4,-0.180450593677278,-0.0220994770955443
46.6,-0.179340180874974,-0.0178311782396428
46.8,-0.175713807342973,-0.010412970236942
47,-0.168634030290676,0.00105764519145524
